check,status,observed,expected
c4:turn_alignment_audit_hash,PASS,3034664f36ae5939d3f098e54ec3cea9aa91d5e23073a6b7b547cfab3060141a,3034664f36ae5939d3f098e54ec3cea9aa91d5e23073a6b7b547cfab3060141a
c4:turn_alignment_c3,PASS,142,142
c4:turn_alignment_c4,PASS,142,142
splits:sha256,PASS,e4202fcd4d492a37fa68c579767ea940ca0629b4230374b06ddc8778e32045b3,e4202fcd4d492a37fa68c579767ea940ca0629b4230374b06ddc8778e32045b3
splits:rows,PASS,7100,7100
splits:repeats,PASS,10,10
splits:folds,PASS,5,5
splits:each_participant_tested_once_per_repeat,PASS,[np.int64(10)],[10]
splits:no_train_test_overlap,PASS,0,0
run:02_tfidf_main:status,PASS,complete,complete
run:model_1_all_mpnet_base_v2:status,PASS,complete,complete
run:model_2_bge_large_en_v1_5:status,PASS,complete,complete
run:03_embedding_robustness:status,PASS,complete,complete
run:04_c5_controls:status,PASS,complete,complete
run:05_c4_controls:status,PASS,complete,complete
c4:run_used_frozen_turn_source,PASS,E:\CodexWorktrees\DAIC-WOZ\reanalysis-v2\analysis_v2\01_inputs\c4_turns_official142_frozen.csv | d2416dbdf981563df2213ca4101b8601964e469f0f744e8e4da001c4520c4229,E:\CodexWorktrees\DAIC-WOZ\reanalysis-v2\analysis_v2\01_inputs\c4_turns_official142_frozen.csv | d2416dbdf981563df2213ca4101b8601964e469f0f744e8e4da001c4520c4229
tests:primary:count,PASS,40,40
tests:primary:permutations,PASS,[np.int64(10000)],[10000]
tests:primary:fdr_present,PASS,40,40
tests:representation:count,PASS,120,120
tests:representation:permutations,PASS,[np.int64(10000)],[10000]
tests:representation:fdr_present,PASS,120,120
tests:c5:count,PASS,30,30
tests:c5:permutations,PASS,[np.int64(10000)],[10000]
tests:c5:fdr_present,PASS,30,30
tests:c4:count,PASS,8,8
tests:c4:permutations,PASS,[np.int64(10000)],[10000]
tests:c4:fdr_present,PASS,8,8
oof:02_tfidf_main\oof_probs\full_transcript_participant_oof.csv:rows,PASS,142,142
oof:02_tfidf_main\oof_probs\full_transcript_participant_oof.csv:unique_participants,PASS,142,142
oof:02_tfidf_main\oof_probs\interviewer_speech_participant_oof.csv:rows,PASS,142,142
oof:02_tfidf_main\oof_probs\interviewer_speech_participant_oof.csv:unique_participants,PASS,142,142
oof:02_tfidf_main\oof_probs\non_explicit_interviewer_speech_participant_oof.csv:rows,PASS,142,142
oof:02_tfidf_main\oof_probs\non_explicit_interviewer_speech_participant_oof.csv:unique_participants,PASS,142,142
oof:02_tfidf_main\oof_probs\participant_speech_participant_oof.csv:rows,PASS,142,142
oof:02_tfidf_main\oof_probs\participant_speech_participant_oof.csv:unique_participants,PASS,142,142
oof:02_tfidf_main\oof_probs\participant_symptom_evidence_participant_oof.csv:rows,PASS,142,142
oof:02_tfidf_main\oof_probs\participant_symptom_evidence_participant_oof.csv:unique_participants,PASS,142,142
oof:02_tfidf_main\oof_probs\full_transcript_fold_oof.csv:rows,PASS,1420,1420
oof:02_tfidf_main\oof_probs\interviewer_speech_fold_oof.csv:rows,PASS,1420,1420
oof:02_tfidf_main\oof_probs\non_explicit_interviewer_speech_fold_oof.csv:rows,PASS,1420,1420
oof:02_tfidf_main\oof_probs\participant_speech_fold_oof.csv:rows,PASS,1420,1420
oof:02_tfidf_main\oof_probs\participant_symptom_evidence_fold_oof.csv:rows,PASS,1420,1420
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\full_transcript_participant_oof.csv:rows,PASS,142,142
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\full_transcript_participant_oof.csv:unique_participants,PASS,142,142
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\interviewer_speech_participant_oof.csv:rows,PASS,142,142
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\interviewer_speech_participant_oof.csv:unique_participants,PASS,142,142
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\non_explicit_interviewer_speech_participant_oof.csv:rows,PASS,142,142
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\non_explicit_interviewer_speech_participant_oof.csv:unique_participants,PASS,142,142
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\participant_speech_participant_oof.csv:rows,PASS,142,142
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\participant_speech_participant_oof.csv:unique_participants,PASS,142,142
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\participant_symptom_evidence_participant_oof.csv:rows,PASS,142,142
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\participant_symptom_evidence_participant_oof.csv:unique_participants,PASS,142,142
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\full_transcript_fold_oof.csv:rows,PASS,1420,1420
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\interviewer_speech_fold_oof.csv:rows,PASS,1420,1420
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\non_explicit_interviewer_speech_fold_oof.csv:rows,PASS,1420,1420
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\participant_speech_fold_oof.csv:rows,PASS,1420,1420
oof:03_embedding_robustness\model_1_all_mpnet_base_v2\oof_probs\participant_symptom_evidence_fold_oof.csv:rows,PASS,1420,1420
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\full_transcript_participant_oof.csv:rows,PASS,142,142
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\full_transcript_participant_oof.csv:unique_participants,PASS,142,142
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\interviewer_speech_participant_oof.csv:rows,PASS,142,142
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\interviewer_speech_participant_oof.csv:unique_participants,PASS,142,142
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\non_explicit_interviewer_speech_participant_oof.csv:rows,PASS,142,142
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\non_explicit_interviewer_speech_participant_oof.csv:unique_participants,PASS,142,142
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\participant_speech_participant_oof.csv:rows,PASS,142,142
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\participant_speech_participant_oof.csv:unique_participants,PASS,142,142
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\participant_symptom_evidence_participant_oof.csv:rows,PASS,142,142
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\participant_symptom_evidence_participant_oof.csv:unique_participants,PASS,142,142
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\full_transcript_fold_oof.csv:rows,PASS,1420,1420
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\interviewer_speech_fold_oof.csv:rows,PASS,1420,1420
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\non_explicit_interviewer_speech_fold_oof.csv:rows,PASS,1420,1420
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\participant_speech_fold_oof.csv:rows,PASS,1420,1420
oof:03_embedding_robustness\model_2_bge_large_en_v1_5\oof_probs\participant_symptom_evidence_fold_oof.csv:rows,PASS,1420,1420
c5:quote_spans_all_matched,PASS,0,0
c5:word_counts_exact,PASS,0,0
c4:lengthmatched_word_counts_exact,PASS,0,0
c4:positionmatched_word_counts_exact,PASS,0,0
