relative_path,bytes,sha256
random_same_word/c5_random_same_word_seed_01/fold_oof.csv,278926,f03c2aaec98411a0b77c7cbd3571da9df0b37f8c7dd4521a3a9181ca28c6bb7a
random_same_word/c5_random_same_word_seed_01/input.csv,140696,255a76b0997bd3f9269e9a9b13660bd45c5066cbab011d7690162e08c79b7703
random_same_word/c5_random_same_word_seed_01/participant_oof.csv,3928,52ab5ae86c34a7b262fd5119d565b2875d84f58d24f4ea37f764b895e70d7979
random_same_word/c5_random_same_word_seed_02/fold_oof.csv,278934,2a7d6e07d36218688007bed639d1e84db47a485e464b12dc4fb87040da160935
random_same_word/c5_random_same_word_seed_02/input.csv,141267,59e994e484baace8c2c1c7f055c408c14dae5b26866c0280974ce4923a668e52
random_same_word/c5_random_same_word_seed_02/participant_oof.csv,3928,a05b574272228e22caf23252292341d333ee55af63de337558a29f3ac8cde61c
random_same_word/c5_random_same_word_seed_03/fold_oof.csv,278963,007d6a312a09a0094bbe7442302501838bd97a1a9c61b762fef8d5d82c9e0357
random_same_word/c5_random_same_word_seed_03/input.csv,141036,ec38f6b5e3219215c079d09bb0c9a5920601e85a82d15bc867dd30f9ff903e22
random_same_word/c5_random_same_word_seed_03/participant_oof.csv,3935,295b21d9d5b2b05323c0474f248a7d4aa8dafc335cc8c0350d3e05c85c55cea3
random_same_word/c5_random_same_word_seed_04/fold_oof.csv,278928,1873d921b9ea5addb560ab81adb67ccf588102bde03ff30cc0e286cf33f664b4
random_same_word/c5_random_same_word_seed_04/input.csv,140934,f01009f3214478c160418987aedb5d70e37bab647552bec6e908d328a58b5d5a
random_same_word/c5_random_same_word_seed_04/participant_oof.csv,3928,86dff269e74b1cd96f0459b17e1b7707540a5d3bec0645d91eb8b8976cc90be0
random_same_word/c5_random_same_word_seed_05/fold_oof.csv,278888,e706a5a253629aa47ddcc820d98e0a8996b14a7b75328eef888600975f5b8847
random_same_word/c5_random_same_word_seed_05/input.csv,141025,9b1ccf919614b64a66ae52ea4710bbedc32fc009a472d3a255515db20b095023
random_same_word/c5_random_same_word_seed_05/participant_oof.csv,3925,ce013eecd16f1c4753275a45d203a85b720ff7006c30efff0d42e347fcdc146a
random_same_word/c5_random_same_word_seed_06/fold_oof.csv,278941,ecb484bcdcabd680277bc57fc43deb7aa094ced16bf064685323e206301d8379
random_same_word/c5_random_same_word_seed_06/input.csv,141281,b29ce6cd80657301e176148e5f566d9f16e7214bc9c03bc9204f71686c41142a
random_same_word/c5_random_same_word_seed_06/participant_oof.csv,3931,6792844f16bfcfe9f53926fa7154dfe3c721e679bd9e5db978a91f6643e7f76a
random_same_word/c5_random_same_word_seed_07/fold_oof.csv,278986,06c11a61a698b740e56033d103637c70ad269e96abddebe9853d5a6c428cb5a7
random_same_word/c5_random_same_word_seed_07/input.csv,141004,5bfce3d4497e33aae84bca0e122f95cac8b26290d833ed053bb49ced2c52a555
random_same_word/c5_random_same_word_seed_07/participant_oof.csv,3917,6ad3fc6a5844a126e5175a941326acf299f37e0bc5e0675e73b027f18ab93253
random_same_word/c5_random_same_word_seed_08/fold_oof.csv,278899,f4317759a631aa531a0dba422df0f967f2e5d4a863cfe0d4a8a86faf7290621e
random_same_word/c5_random_same_word_seed_08/input.csv,140980,f9a1b9c333c6e14425813ab940d4ba9eaed8be777c4a6f7f52a85552047b6f84
random_same_word/c5_random_same_word_seed_08/participant_oof.csv,3932,29f7ca9d2ef56917765827e19511b52f9a7246a2f4769a1da14e2ecfe96e3177
random_same_word/c5_random_same_word_seed_09/fold_oof.csv,278939,90592ac0a99c2e1b77549fc5699fe8d68339f162f63cb282d549313accf9a68e
random_same_word/c5_random_same_word_seed_09/input.csv,141232,5ca75565e0d7d7f4400d1b9472e6946048706932b5c3d271e1b0e8304a91998f
random_same_word/c5_random_same_word_seed_09/participant_oof.csv,3932,9e80a01298339ff2a836532d7d47117249c78f886d1188b79a3867b2fa1b41a7
random_same_word/c5_random_same_word_seed_10/fold_oof.csv,278930,9a6d729d4e9c70db1f602f248a1d9d644d889b0cd2a0e6459fc5c5b0247e2afb
random_same_word/c5_random_same_word_seed_10/input.csv,140864,70e49ee96bc832d346c4a5280a88e23a8787e0568ad191f18564864b133c2a95
random_same_word/c5_random_same_word_seed_10/participant_oof.csv,3923,d39979c9f630a0fe50794ffd7f4b176527b5dfefe52cef599a7063d2ebc32a94
random_same_word/random_ensemble_participant_oof.csv,3930,0c66b28191ec7e35e60c180ae3b395043ba4c3aafa780fc905c6ef56660fe582
random_same_word/random_seed_metric_distribution.csv,510,87fabc068ac8e0cdcb9d0064aed1262f6b15fa35fdb7a1f77e30e3180a55fe39
random_same_word/sampling_audit.csv,47349,4f18ded5d3ba2716727d92474125d75f658dc5ab987b936c1e8ba302e513e12c
