participant_id,split,turn_index,text,expected_rule_decision,is_removed_diagnostic_prompt,matched_rule_ids,review_focus_hits,sample_reason,human_review_decision,reviewer_notes
425,dev,208,therapy_going (do you still go to therapy now),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
426,train,223,therapy_going (do you still go to therapy now),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
430,train,134,depression_diagnosed (have you been diagnosed with depression),remove,True,mood_depression;mental_health_history,diagnosed_depression_probe,focus_pattern,,
434,train,236,ptsd_diagnosed (have you ever been diagnosed with p_t_s_d),remove,True,mental_health_history,ptsd_probe,focus_pattern,,
436,train,138,depression_diagnosed (have you been diagnosed with depression),remove,True,mood_depression;mental_health_history,diagnosed_depression_probe,focus_pattern,,
439,train,2,IntroV4Confirmation (hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
441,dev,165,why_seek_help (what got you to seek help),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
442,dev,221,depression_diagnosed (have you been diagnosed with depression),remove,True,mood_depression;mental_health_history,diagnosed_depression_probe,focus_pattern,,
444,train,292,easy_sleep (how easy is it for you to get a good night's sleep),remove,True,sleep_fatigue_energy,sleep_probe,focus_pattern,,
445,train,120,ptsd_diagnosed (have you ever been diagnosed with p_t_s_d),remove,True,mental_health_history,ptsd_probe,focus_pattern,,
454,dev,2,IntroV4Confirmation (hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
459,train,143,easy_sleep (how easy is it for you to get a good night's sleep),remove,True,sleep_fatigue_energy,sleep_probe,focus_pattern,,
461,train,161,why_seek_help (what got you to seek help),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
465,dev,240,ptsd_diagnosed (have you ever been diagnosed with p_t_s_d),remove,True,mental_health_history,ptsd_probe,focus_pattern,,
474,train,3,IntroV4Confirmation (hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
476,train,2,IntroV4Confirmation (hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
479,dev,176,depression_diagnosed (have you been diagnosed with depression),remove,True,mood_depression;mental_health_history,diagnosed_depression_probe,focus_pattern,,
481,train,275,ptsd_diagnosed (have you ever been diagnosed with p_t_s_d),remove,True,mental_health_history,ptsd_probe,focus_pattern,,
491,train,175,therapy_useful (do you feel like therapy is useful),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
309,train,58,how long ago were you diagnosed,remove,True,mental_health_history,,random_removed_nonfocus,,
310,train,22,what do you enjoy about traveling,remove,True,anhedonia_interest,,random_removed_nonfocus,,
314,train,44,what do you enjoy about traveling,remove,True,anhedonia_interest,,random_removed_nonfocus,,
317,dev,46,what do you enjoy about traveling,remove,True,anhedonia_interest,,random_removed_nonfocus,,
319,train,107,how long ago were you diagnosed,remove,True,mental_health_history,,random_removed_nonfocus,,
324,train,59,what do you enjoy about traveling,remove,True,anhedonia_interest,,random_removed_nonfocus,,
349,train,287,tell me about something you did recently that you really enjoyed,remove,True,anhedonia_interest,,random_removed_nonfocus,,
350,dev,108,how long ago were you diagnosed,remove,True,mental_health_history,,random_removed_nonfocus,,
368,train,37,travel_changed (what do you enjoy about traveling),remove,True,anhedonia_interest,,random_removed_nonfocus,,
371,dev,132,disturbing_thoughts (do you have disturbing thoughts),remove,True,suicide_self_harm,,random_removed_nonfocus,,
378,train,135,Ellie17Dec2012_10 (tell me about something you did recently that you really enjoyed),remove,True,anhedonia_interest,,random_removed_nonfocus,,
402,dev,160,Ellie17Dec2012_10 (tell me about something you did recently that you really enjoyed),remove,True,anhedonia_interest,,random_removed_nonfocus,,
403,train,26,travel_changed (what do you enjoy about traveling),remove,True,anhedonia_interest,,random_removed_nonfocus,,
421,train,148,when_diagnosed (how long ago were you diagnosed),remove,True,mental_health_history,,random_removed_nonfocus,,
423,dev,25,travel_changed (what do you enjoy about traveling),remove,True,anhedonia_interest,,random_removed_nonfocus,,
426,train,211,when_diagnosed (how long ago were you diagnosed),remove,True,mental_health_history,,random_removed_nonfocus,,
435,dev,261,Ellie17Dec2012_10 (tell me about something you did recently that you really enjoyed),remove,True,anhedonia_interest,,random_removed_nonfocus,,
443,train,183,Ellie17Dec2012_10 (tell me about something you did recently that you really enjoyed),remove,True,anhedonia_interest,,random_removed_nonfocus,,
445,train,153,Ellie17Dec2012_10 (tell me about something you did recently that you really enjoyed),remove,True,anhedonia_interest,,random_removed_nonfocus,,
455,dev,45,travel_changed (what do you enjoy about traveling),remove,True,anhedonia_interest,,random_removed_nonfocus,,
476,train,29,travel_changed (what do you enjoy about traveling),remove,True,anhedonia_interest,,random_removed_nonfocus,,
479,dev,213,Ellie17Dec2012_10 (tell me about something you did recently that you really enjoyed),remove,True,anhedonia_interest,,random_removed_nonfocus,,
483,train,47,travel_changed (what do you enjoy about traveling),remove,True,anhedonia_interest,,random_removed_nonfocus,,
486,dev,33,travel_changed (what do you enjoy about traveling),remove,True,anhedonia_interest,,random_removed_nonfocus,,
490,train,163,Ellie17Dec2012_10 (tell me about something you did recently that you really enjoyed),remove,True,anhedonia_interest,,random_removed_nonfocus,,
300,dev,136,have you ever served in the military,retain,False,,military_probe,focus_pattern,,
307,train,196,have you ever served in the military,retain,False,,military_probe,focus_pattern,,
309,train,52,have you ever served in the military,retain,False,,military_probe,focus_pattern,,
312,train,147,how old were you when you joined the military,retain,False,,military_probe,focus_pattern,,
312,train,153,how did serving in the military change you,retain,False,,military_probe,focus_pattern,,
314,train,191,have you ever served in the military,retain,False,,military_probe,focus_pattern,,
321,dev,103,have you ever served in the military,retain,False,,military_probe,focus_pattern,,
325,train,87,have you ever served in the military,retain,False,,military_probe,focus_pattern,,
331,dev,107,have you ever served in the military,retain,False,,military_probe,focus_pattern,,
334,dev,126,what did you do after the military,retain,False,,military_probe,focus_pattern,,
335,train,123,have you ever served in the military,retain,False,,military_probe,focus_pattern,,
336,dev,133,have you ever served in the military,retain,False,,military_probe,focus_pattern,,
343,dev,130,have you ever served in the military,retain,False,,military_probe,focus_pattern,,
344,dev,42,how did serving in the military change you,retain,False,,military_probe,focus_pattern,,
348,train,112,have you ever served in the military,retain,False,,military_probe,focus_pattern,,
351,train,101,have you ever served in the military,retain,False,,military_probe,focus_pattern,,
356,train,136,have you ever served in the military,retain,False,,military_probe,focus_pattern,,
364,train,277,old (how old were you when you joined the military),retain,False,,military_probe,focus_pattern,,
364,train,319,after (what did you do after the military),retain,False,,military_probe,focus_pattern,,
441,dev,120,old (how old were you when you joined the military),retain,False,,military_probe,focus_pattern,,
312,train,22,<laughter>,retain,False,,,random_retained_nonfocus,,
320,dev,116,have you noticed any changes in your behavior or thoughts lately,retain,False,,,random_retained_nonfocus,,
336,dev,178,how do you cope with them,retain,False,,,random_retained_nonfocus,,
340,train,100,mhm,retain,False,,,random_retained_nonfocus,,
344,dev,136,that's good,retain,False,,,random_retained_nonfocus,,
371,dev,67,tell_about_that (can you tell me about that),retain,False,,,random_retained_nonfocus,,
381,dev,39,shyoutgoing (do you consider yourself more shy or outgoing),retain,False,,,random_retained_nonfocus,,
381,dev,107,feelguilty (what's something you feel guilty about),retain,False,,,random_retained_nonfocus,,
400,train,78,situation_handled (tell me about a situation that you wish you had handled differently),retain,False,,,random_retained_nonfocus,,
402,dev,180,okay_confirm (okay),retain,False,,,random_retained_nonfocus,,
407,train,142,okay_confirm (okay),retain,False,,,random_retained_nonfocus,,
421,train,29,why_LA (why did you move to l_a),retain,False,,,random_retained_nonfocus,,
427,train,285,asked_everything (okay i think i have asked everything i need to),retain,False,,,random_retained_nonfocus,,
431,dev,175,tell_about_that (can you tell me about that),retain,False,,,random_retained_nonfocus,,
432,train,150,family_relationship (tell me about your relationship with your family),retain,False,,,random_retained_nonfocus,,
440,train,44,memorableB (what's one of your most memorable experiences),retain,False,,,random_retained_nonfocus,,
441,dev,87,situation_handled (tell me about a situation that you wish you had handled differently),retain,False,,,random_retained_nonfocus,,
441,dev,148,happy_didthat (are you happy you did that),retain,False,,,random_retained_nonfocus,,
444,train,350,uh_huh (uh huh),retain,False,,,random_retained_nonfocus,,
446,train,250,mhm (mhm),retain,False,,,random_retained_nonfocus,,
454,dev,132,change_directions (what made you decide to do that),retain,False,,,random_retained_nonfocus,,
455,dev,213,appreciate_open (thanks for sharing your thoughts with me),retain,False,,,random_retained_nonfocus,,
457,train,265,advice_back (what advice would you give to yourself ten or twenty years ago),retain,False,,,random_retained_nonfocus,,
474,train,16,often_backB (how often do you go back to your hometown),retain,False,,,random_retained_nonfocus,,
484,dev,39,memorableB (what's one of your most memorable experiences),retain,False,,,random_retained_nonfocus,,
