model,input_condition,train_rows,test_rows,dropped_empty_rows,class_weight,notes,n,positive_n,negative_n,accuracy,precision,recall,sensitivity,specificity,f1,macro_f1,auc,mcc,tn,fp,fn,tp,evaluation,fold,cv_folds
tfidf_linear_svm,interviewer_cleaned,149,37,3,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.9459459459459459,1.0,0.75,0.75,1.0,0.8571428571428571,0.9119047619047619,0.939655172413793,0.8376233659741151,29,0,2,6,cv,4,5
tfidf_linear_svm,interviewer_cleaned,149,37,3,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",37,9,28,0.8918918918918919,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.9642857142857143,0.75,0.8405172413793103,0.9285714285714285,0.6911737035184239,27,1,3,6,cv,5,5
tfidf_logistic_regression,interviewer_only,148,38,3,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",38,9,29,0.6842105263157895,0.4,0.6666666666666666,0.6666666666666666,0.6896551724137931,0.5,0.6346153846153846,0.8390804597701149,0.3099225290503959,20,9,3,6,cv,1,5
tfidf_logistic_regression,interviewer_only,149,37,3,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.8378378378378378,0.6,0.75,0.75,0.8620689655172413,0.6666666666666666,0.7797619047619048,0.8017241379310345,0.5673649067577046,25,4,2,6,cv,2,5
tfidf_logistic_regression,interviewer_only,149,37,3,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.7297297297297297,0.42857142857142855,0.75,0.75,0.7241379310344828,0.5454545454545454,0.6765734265734266,0.7887931034482758,0.40245817812041473,21,8,2,6,cv,3,5
tfidf_logistic_regression,interviewer_only,149,37,3,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.8108108108108109,0.5454545454545454,0.75,0.75,0.8275862068965517,0.631578947368421,0.7521531100478469,0.8706896551724137,0.5202089135345165,24,5,2,6,cv,4,5
tfidf_logistic_regression,interviewer_only,149,37,3,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",37,9,28,0.918918918918919,0.875,0.7777777777777778,0.7777777777777778,0.9642857142857143,0.8235294117647058,0.8854489164086687,0.9563492063492064,0.7733878477190165,27,1,2,7,cv,5,5
tfidf_linear_svm,interviewer_only,148,38,3,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",38,9,29,0.8157894736842105,0.6,0.6666666666666666,0.6666666666666666,0.8620689655172413,0.631578947368421,0.7543859649122806,0.9195402298850575,0.5104812758612466,25,4,3,6,cv,1,5
tfidf_linear_svm,interviewer_only,149,37,3,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.8378378378378378,0.625,0.625,0.625,0.896551724137931,0.625,0.7607758620689655,0.814655172413793,0.521551724137931,26,3,3,5,cv,2,5
tfidf_linear_svm,interviewer_only,149,37,3,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.7837837837837838,0.5,0.5,0.5,0.8620689655172413,0.5,0.6810344827586207,0.8189655172413793,0.3620689655172414,25,4,4,4,cv,3,5
tfidf_linear_svm,interviewer_only,149,37,3,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.8378378378378378,0.6,0.75,0.75,0.8620689655172413,0.6666666666666666,0.7797619047619048,0.8922413793103449,0.5673649067577046,25,4,2,6,cv,4,5
tfidf_linear_svm,interviewer_only,149,37,3,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",37,9,28,0.8918918918918919,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9285714285714286,0.7777777777777778,0.8531746031746033,0.9484126984126985,0.7063492063492064,26,2,2,7,cv,5,5
tfidf_logistic_regression,participant_only,151,38,0,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",38,8,30,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,0.4411764705882353,0.6125,0.0,30,0,8,0,cv,1,5
tfidf_logistic_regression,participant_only,151,38,0,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",38,8,30,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,0.4411764705882353,0.6375,0.0,30,0,8,0,cv,2,5
tfidf_logistic_regression,participant_only,151,38,0,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",38,9,29,0.7631578947368421,0.0,0.0,0.0,1.0,0.0,0.43283582089552236,0.8965517241379309,0.0,29,0,9,0,cv,3,5
tfidf_logistic_regression,participant_only,151,38,0,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",38,9,29,0.7631578947368421,0.0,0.0,0.0,1.0,0.0,0.43283582089552236,0.7701149425287356,0.0,29,0,9,0,cv,4,5
tfidf_logistic_regression,participant_only,152,37,0,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.7837837837837838,0.0,0.0,0.0,1.0,0.0,0.4393939393939394,0.8232758620689655,0.0,29,0,8,0,cv,5,5
tfidf_linear_svm,participant_only,151,38,0,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",38,8,30,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,0.4411764705882353,0.6291666666666667,0.0,30,0,8,0,cv,1,5
tfidf_linear_svm,participant_only,151,38,0,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",38,8,30,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,0.4411764705882353,0.6375000000000001,0.0,30,0,8,0,cv,2,5
tfidf_linear_svm,participant_only,151,38,0,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",38,9,29,0.7631578947368421,0.0,0.0,0.0,1.0,0.0,0.43283582089552236,0.896551724137931,0.0,29,0,9,0,cv,3,5
tfidf_linear_svm,participant_only,151,38,0,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",38,9,29,0.7631578947368421,0.0,0.0,0.0,1.0,0.0,0.43283582089552236,0.7739463601532567,0.0,29,0,9,0,cv,4,5
tfidf_linear_svm,participant_only,152,37,0,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.7837837837837838,0.0,0.0,0.0,1.0,0.0,0.4393939393939394,0.8362068965517242,0.0,29,0,8,0,cv,5,5
